"","condition"
"GTEX-1L5NE-2126-SM-CY8IH.1","A"
"GTEX-15DCZ-0726-SM-69LOV.1","A"
"GTEX-131YS-0626-SM-5EGKL.1","A"
"GTEX-ZYWO-2326-SM-5GZY4.1","A"
"GTEX-14PJ4-2126-SM-6ETZJ.1","A"
"GTEX-1LG7Z-0726-SM-CXKYD.1","A"
"GTEX-YB5K-1626-SM-5IFIN.1","A"
"GTEX-U8XE-0826-SM-4E3J1.1","A"
"GTEX-TMMY-0726-SM-33HBE.1","A"
"GTEX-15UF6-0126-SM-6PAMB.1","A"
"GTEX-11GSO-1926-SM-5A5K3.1","A"
"GTEX-12BJ1-1826-SM-5HL9N.1","A"
"GTEX-1MCC2-2126-SM-EWRON.1","A"
"GTEX-ZUA1-1526-SM-59HLS.1","A"
"GTEX-18465-2026-SM-718AP.1","A"
"GTEX-ZQUD-1926-SM-51MSA.1","A"
"GTEX-1LSNL-2826-SM-E9U5L.1","A"
"GTEX-ZA64-1526-SM-5CVMD.1","A"
"GTEX-14AS3-1626-SM-5S2OY.1","A"
"GTEX-1I1GU-1026-SM-ADEHJ.1","A"
"GTEX-1F5PK-2126-SM-7PC28.1","A"
"GTEX-1MJK3-1126-SM-E9J3F.1","A"
"GTEX-WHSB-1926-SM-EXOHH.1","A"
"GTEX-13FHO-0826-SM-5L3E8.1","A"
"GTEX-1GMRU-0826-SM-9WYT7.1","A"
"GTEX-1J8Q3-1326-SM-CMKI1.1","A"
"GTEX-16BQI-1026-SM-7KUEA.1","A"
"GTEX-12WSB-0626-SM-59HJO.1","A"
"GTEX-1HSEH-2026-SM-ADEHN.1","A"
"GTEX-ZF29-1926-SM-5S2P1.1","A"
"GTEX-YB5E-1726-SM-5IFJ3.1","A"
"GTEX-Y9LG-1426-SM-5IFJZ.1","A"
"GTEX-1EKGG-2626-SM-7IGPY.1","A"
"GTEX-17KNJ-2026-SM-7LG53.1","A"
"GTEX-1IKOE-1326-SM-CE6T6.1","A"
"GTEX-X4XY-0926-SM-4E3JD.1","A"
"GTEX-ZDTT-2126-SM-DKPOM.1","A"
"GTEX-YFC4-1426-SM-5IFJG.1","A"
"GTEX-11DXZ-1926-SM-5GZZL.1","A"
"GTEX-145ME-1526-SM-5Q5F2.1","A"
"GTEX-14E6C-1326-SM-62LEQ.1","A"
"GTEX-18D9A-1526-SM-7LG4J.1","A"
"GTEX-1IKJJ-2326-SM-COH3U.1","A"
"GTEX-1C6VQ-0426-SM-79OOX.1","A"
"GTEX-14DAR-1326-SM-7DUEG.1","A"
"GTEX-14LLW-0626-SM-62LFC.1","A"
"GTEX-13FTW-1426-SM-5LZWZ.1","A"
"GTEX-1POEN-0926-SM-DTX88.1","A"
"GTEX-ZYW4-0826-SM-5GIDG.1","A"
"GTEX-13NZ9-1026-SM-5MR5K.1","A"
"GTEX-YJ8O-2226-SM-5IFHW.1","A"
"GTEX-ZV6S-1826-SM-5NQ8D.1","A"
"GTEX-UTHO-1026-SM-3GAF7.1","A"
"GTEX-X62O-0526-SM-EWRMA.1","A"
"GTEX-15EOM-5019-SM-793DK.1","A"
"GTEX-1KD5A-1926-SM-DKPQA.1","A"
"GTEX-1HCU8-0126-SM-ADEHH.1","A"
"GTEX-1HR98-0426-SM-COH36.1","A"
"GTEX-1QMI2-0726-SM-E9J4F.1","A"
"GTEX-ZGAY-1726-SM-DO91P.1","A"
"GTEX-1I1GV-2426-SM-CGQFM.1","A"
"GTEX-U3ZN-1926-SM-4DXSG.1","A"
"GTEX-13NZB-2126-SM-5MR4Y.1","A"
"GTEX-1GMR2-1926-SM-9MQLZ.1","A"
"GTEX-ZF3C-2326-SM-5S2NC.1","A"
"GTEX-14PKU-0426-SM-6EU1P.1","A"
"GTEX-S4P3-1326-SM-4AD6V.1","A"
"GTEX-14PHY-1926-SM-5YY95.1","A"
"GTEX-ZV7C-1826-SM-5NQ83.1","A"
"GTEX-1JKYR-0926-SM-CMKGJ.1","A"
"GTEX-11ILO-2226-SM-5A5L1.1","A"
"GTEX-1R7EU-1226-SM-E8VMR.1","A"
"GTEX-1M5QR-2526-SM-E9U5P.1","A"
"GTEX-ZLV1-1426-SM-4WWES.1","A"
"GTEX-ZDYS-1126-SM-5K7UB.1","A"
"GTEX-QEL4-2126-SM-447AE.1","A"
"GTEX-TML8-1226-SM-32QON.1","A"
"GTEX-17F96-2426-SM-7IGLN.1","A"
"GTEX-S7SE-0826-SM-4AT4D.1","A"
"GTEX-1IDJF-2326-SM-ARL86.1","A"
"GTEX-ZF3C-2326-SM-5S2MZ.1","A"
"GTEX-1J8EW-2626-SM-CL53E.1","A"
"GTEX-R3RS-0626-SM-48FE1.1","A"
"GTEX-13O61-1826-SM-5KM4I.1","A"
"GTEX-1J8QM-2026-SM-ARZMW.1","A"
"GTEX-183FY-1126-SM-7DHLJ.1","A"
"GTEX-1B98T-0726-SM-7939J.1","A"
"TCGA-D8-A1Y1-01A","B"
"TCGA-AO-A124-01A","B"
